region,gender,province,cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,edu_comp,degree_year,eui,dist_cult,eoi,soc_media,st_heard_num,spell_uni_num,distinct_num,cdn_way_num,spell_num,st_heard_scaled,spell_uni_scaled,distinct_scaled,cdn_way_scaled,spell_scaled,slai
ON,female,Ontario,agree,definitely yes,no,,extremely important,yes,yes,yes but i cant describe it well,zee,very important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,agree,probably yes,64,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,5,3,3,5,5,5,3.66666666666667,3.66666666666667,5,4.33333333333333
AB,male,Alberta,strongly agree,definitely yes,no,,important,that depends ,no,,zee,important,definitely yes,probably yes,definitely not,yes ,no particular variety,rarely,yes,definitely yes,probably yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,54,canada,undergraduate degree,i am not currently studying,0,no,,i dont use social media,1,5,3,3,4,1,5,3.66666666666667,3.66666666666667,4,4.08333333333333
AB,male,Alberta,somewhat disagree,definitely not,no,,unimportant,yes,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,probably not,definitely not,,no particular variety,sometimes,yes,no,definitely yes,definitely yes,strongly disagree,strongly disagree,agree,disagree,probably not,44,canada,graduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,3,2,2,3,5,3,2.33333333333333,2.33333333333333,3,2.66666666666667
AB,female,Alberta,agree,neutral,no,,,yes,no,,zee,unimportant,probably not,probably not,probably not,,no particular variety,sometimes,no,no,definitely yes,probably yes,strongly agree,neither disagree nor agree,agree,disagree,,29,canada,undergraduate degree,third year,0,no,,i dont use social media,1,2,2,,2,1,2,2.33333333333333,,2,2.11111111111111
AB,male,Alberta,agree,probably yes,no,,unimportant,yes,yes,yes but i cant describe it well,zee,very unimportant,definitely not,probably yes,definitely yes,yes ,no particular variety,often,,no,probably yes,definitely yes,disagree,disagree,agree,agree,probably yes,39,canada,undergraduate degree,i am not currently studying,0,no,,12 hours,5,1,3,3,1,5,1,3.66666666666667,3.66666666666667,1,2.33333333333333
MB,male,Alberta,strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,,definitely not,,no particular variety,often,yes,definitely yes,probably yes,probably yes,agree,agree,agree,,,39,canada,high school,second year,1,no,,i dont use social media,5,5,,,4,5,5,,,4,4.5
AB,female,Alberta,agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zee,very important,probably yes,definitely yes,probably not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,49,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,5,4,4,3,5,5,4,5,3.66666666666667,5,4.41666666666667
ON,female,Alberta,strongly agree,probably yes,no,,extremely important,yes,not sure,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,strongly agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,69,canada,undergraduate degree,i am not currently studying,0,no,,24 hours,3,5,3,4,5,3,5,3.66666666666667,5,5,4.66666666666667
AB,male,Alberta,strongly disagreee,definitely not,no,,unimportant,no,yes,yes but i cant describe it well,both,unimportant,probably not,probably yes,probably not,yes ,no particular variety,rarely,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,probably yes,39,canada,undergraduate degree,i am not currently studying,0,no,,30 minutes to 1 hour,5,2,3,3,2,5,2,3.66666666666667,3.66666666666667,2,2.83333333333333
AB,male,Alberta,strongly agree,probably not,no,,important,that depends ,no,,zee,neither unimportant nor important,probably yes,probably yes,definitely not,yes ,irish english,sometimes,no,no,definitely yes,definitely yes,strongly agree,strongly disagree,neither disagree nor agree,strongly disagree,probably yes,29,canada,elementary school,i am not currently studying,0,no,,12 hours,1,4,3,3,3,1,4,3.66666666666667,3.66666666666667,3,3.58333333333333
