Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Neutral,No,,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",both,Neither unimportant nor important,Might or might not,Probably not,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Definitely yes,Neither disagree nor agree,Disagree,,Disagree,Probably yes,40-44,Canada,Saskatchewan,female,graduate degree,I am not currently studying,SK,0,no,,30 minutes to 1 hour
Agree,Probably not,Yes,Neither comfortable nor uncomfortable,Important,No,No,,zee,Important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,British English,Often,Yes,Yes,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Probably yes,35-39,Canada,Saskatchewan,male,high school,I am not currently studying,BC,0,yes (please specify):,6,I don't use social media
Strongly agree,Probably not,No,,Important,Yes,No,,zed,Very important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,Canadian English,Rarely,Yes,Don't know,Definitely yes,Might or might not,Strongly agree,Strongly disagree,Agree,Don't know,Probably yes,35-39,Canada,Saskatchewan,male,graduate degree,I am not currently studying,SK,0,yes (please specify):,12,2-4 hours
Strongly agree,Probably not,No,,Extremely important,No,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Probably not,,British English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Agree,,Agree,Definitely yes,40-44,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,4-6 hours
Somewhat agree,Neutral,No,,Unimportant,Yes,No,,both,Very unimportant,Might or might not,Probably not,Definitely not,No,American English,Often,No,Yes,Probably yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,35-39,Canada,Saskatchewan,male,other (please specify):,I am not currently studying,SK,0,no,,1-2 hours
Strongly agree,Neutral,No,,Extremely important,That depends (please also explain if you can),Not sure,,zed,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Agree,Don't know,Probably yes,65-69,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,4-6 hours
Strongly agree,Probably yes,No,,Unimportant,No,Not sure,,both,Neither unimportant nor important,Might or might not,Probably yes,Probably not,Yes (please specify who):,No particular variety,Sometimes,Yes,Yes,Probably yes,Probably yes,Disagree,Disagree,Strongly agree,Strongly agree,,25-29,Canada,Alberta,female,high school,I am not currently studying,AB,0,no,,1-2 hours
Agree,,No,,Extremely important,Yes,Not sure,"Yes, I do know. It is... (please describe briefly):",zed,,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Often,,Yes,Definitely not,Probably yes,Agree,Strongly disagree,Strongly agree,Disagree,Probably yes,45-49,Canada,Saskatchewan,female,graduate degree,I am not currently studying,SK,0,yes (please specify):,1,30 minutes to 1 hour
Strongly agree,Neutral,Yes,Does not apply to me (I don't live in Canada),,That depends (please also explain if you can),No,,zee,,,Probably yes,,,British English,Don't know,Yes,No,,Might or might not,Disagree,Disagree,Agree,Strongly agree,,20-24,United States,Pennsylvania,female,high school,Third year,US,2,yes (please specify):,1,4-6 hours
Strongly agree,Neutral,No,,Important,Yes,No,,both,Neither unimportant nor important,Might or might not,Probably not,Probably not,,No particular variety,Rarely,No,No,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Probably not,45-49,Canada,Alberta,female,undergraduate degree,I am not currently studying,AB,0,no,,less than 30 minutes
Agree,Definitely yes,No,,Important,No,No,,both,Important,Probably yes,Probably not,Probably yes,,British English,Sometimes,Yes,Definitely yes,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Neither disagree nor agree,Strongly disagree,Probably yes,60-64,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,no,,2-4 hours
Agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),No,,zed,Important,Might or might not,Don't know,Probably yes,,No particular variety,Sometimes,Yes,Don't know,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Probably yes,30-34,Canada,Alberta,male,undergraduate degree,First year,QC,2,yes (please specify):,7,less than 30 minutes
Don't know,Definitely not,No,,Important,Yes,No,,zed,Neither unimportant nor important,Probably yes,Definitely yes,Definitely not,No,Canadian English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Strongly disagree,Agree,Strongly disagree,Definitely yes,25-29,Canada,Saskatchewan,male,undergraduate degree,Second year,SK,0,no,,2-4 hours
Strongly agree,Probably yes,Yes,Moderately uncomfortable,Important,Yes,Not sure,"Yes, but I can't describe it well",zed,Important,Probably yes,Probably yes,Probably not,No,British English,Often,Yes,Yes,Definitely yes,Might or might not,Strongly agree,Strongly agree,Strongly agree,Agree,Probably yes,50-54,Canada,Quebec,female,undergraduate degree,I am not currently studying,QC,1,yes (please specify):,7,less than 30 minutes
Strongly agree,Neutral,Yes,Moderately comfortable,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Always,Yes,Definitely yes,Definitely yes,Definitely not,Strongly disagree,Strongly disagree,Agree,Neither disagree nor agree,Probably yes,40-44,Canada,Quebec,female,undergraduate degree,I am not currently studying,QC,0,yes (please specify):,12,30 minutes to 1 hour
Strongly agree,Probably not,Yes,Extremely comfortable,Important,Yes,Yes,"Yes, I do know. It is... (please describe briefly):",both,Neither unimportant nor important,Definitely yes,Probably not,Definitely not,Yes (please specify who):,British English,Rarely,Yes,Yes,Definitely yes,Probably yes,Disagree,Strongly disagree,Agree,Disagree,Probably yes,60-64,Canada,Saskatchewan,female,other (please specify):,I am not currently studying,SK,2,no,,2-4 hours
Agree,Neutral,No,,,No,Yes,"Yes, but I can't describe it well",both,Important,Probably yes,Definitely yes,Definitely not,,Canadian English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Disagree,Strongly agree,Agree,Definitely yes,45-49,Canada,Alberta,female,other (please specify):,I am not currently studying,ON,0,no,,1-2 hours
Strongly agree,Probably yes,No,,Important,No,No,,zee,Important,Probably yes,Probably yes,Probably not,No,No particular variety,Sometimes,Yes,No,Definitely yes,Might or might not,Agree,Neither disagree nor agree,Strongly agree,Agree,Probably yes,20-24,Canada,Saskatchewan,male,high school,Third year,SK,0,no,,more than 8 hours
Strongly agree,Neutral,Yes,Moderately comfortable,Extremely important,That depends (please also explain if you can),Yes,,zed,Important,Definitely yes,Probably yes,Definitely not,,No particular variety,Often,Yes,Definitely yes,Probably yes,Probably yes,Disagree,Disagree,Strongly agree,Agree,Probably yes,60-64,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,MB,0,yes (please specify):,1,30 minutes to 1 hour
Agree,Neutral,No,,Important,Yes,Yes,"Yes, but I can't describe it well",zee,Neither unimportant nor important,Probably yes,Definitely yes,Definitely not,No,No particular variety,Often,No,Don't know,Definitely yes,Might or might not,Neither disagree nor agree,Disagree,Agree,Don't know,Probably yes,45-49,Canada,Saskatchewan,male,other (please specify):,I am not currently studying,SK,0,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Extremely comfortable,Important,Yes,Not sure,"Yes, but I can't describe it well",zee,Unimportant,Probably not,Probably not,Probably not,Yes (please specify who):,No particular variety,Rarely,Yes,Yes,Probably yes,Definitely yes,Strongly disagree,Strongly disagree,Strongly agree,Agree,Probably not,35-39,Canada,Quebec,female,post-graduate degree,,France,3,no,,2-4 hours
Strongly agree,Definitely not,No,,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Don't know,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Agree,Disagree,Strongly agree,Disagree,Probably yes,35-39,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Unimportant,No,Not sure,,zee,Unimportant,Probably not,Don't know,Probably not,,No particular variety,Never,Yes,Neither yes or no,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Strongly agree,Neither disagree nor agree,Probably yes,20-24,Canada,Alberta,non-binary,high school,Fourth year+,AB,0,yes (please specify):,11,less than 30 minutes
Agree,Probably yes,Yes,Does not apply to me (I don't live in Canada),,Yes,No,,zee,,,Definitely not,Probably yes,Yes (please specify who):,British English,Sometimes,,No,Probably yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Agree,Probably yes,15-19,United States,Maryland,male,other (please specify):,Second year,Blank,0,yes (please specify):,0,less than 30 minutes
Strongly agree,Probably not,Yes,Extremely uncomfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Don't know,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Definitely yes,Might or might not,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Agree,Probably yes,50-54,Canada,Saskatchewan,non-binary,post-graduate degree,I am not currently studying,SK,0,yes (please specify):,11,30 minutes to 1 hour
Strongly agree,Definitely yes,No,,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zee,Very important,Probably yes,Probably yes,Definitely not,,British English,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Agree,Strongly agree,Neither disagree nor agree,Definitely yes,15-19,Canada,Saskatchewan,male,high school,First year,SK,0,no,,1-2 hours
Strongly agree,Definitely yes,No,,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Definitely yes,Probably not,Yes (please specify who):,British English,Often,Yes,Definitely yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Definitely yes,60-64,Canada,Saskatchewan,female,graduate degree,I am not currently studying,ON,0,yes (please specify):,8,1-2 hours
Agree,Neutral,Yes,Extremely uncomfortable,Extremely important,Yes,Not sure,,zee,Very important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Disagree,,25-29,Canada,Saskatchewan,male,graduate degree,I am not currently studying,SK,0,yes (please specify):,10,2-4 hours
Strongly agree,Definitely not,No,,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably not,Probably yes,Probably not,,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,35-39,Canada,Alberta,female,high school,I am not currently studying,SK,0,no,,2-4 hours
Agree,Probably yes,No,,Extremely important,That depends (please also explain if you can),Not sure,,zed,Very important,Definitely yes,Definitely yes,,Yes (please specify who):,No particular variety,Rarely,Yes,Definitely yes,Probably yes,Definitely yes,Agree,Agree,Agree,Neither disagree nor agree,Probably yes,45-49,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,2,no,,1-2 hours
Agree,Probably yes,No,,Extremely important,Yes,Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably yes,Probably not,Yes (please specify who):,Canadian English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Definitely yes,40-44,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,no,,30 minutes to 1 hour
Somewhat agree,Probably not,No,,Extremely unimportant,Yes,No,,zed,Neither unimportant nor important,Definitely not,Definitely not,Probably not,No,No particular variety,Never,,Don't know,Probably not,Definitely yes,Strongly agree,Neither disagree nor agree,Agree,Strongly agree,Probably not,20-24,Canada,Manitoba,male,high school,I am not currently studying,MB,0,no,,more than 8 hours
Strongly agree,Neutral,Yes,Neither comfortable nor uncomfortable,Extremely important,Yes,No,,zed,Very important,Definitely yes,Probably yes,Probably yes,Yes (please specify who):,British English,Sometimes,Yes,Yes,Definitely yes,Might or might not,Neither disagree nor agree,Neither disagree nor agree,Agree,Strongly disagree,Probably yes,35-39,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,6-8 hours
Agree,Probably yes,No,,Important,No,No,,zee,Important,Probably yes,Probably yes,Probably yes,No,Canadian English,Never,Yes,Yes,Probably yes,Probably not,Agree,Neither disagree nor agree,Agree,Agree,,35-39,Canada,Saskatchewan,male,graduate degree,I am not currently studying,SK,0,yes (please specify):,0,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),No,,zee,Neither unimportant nor important,Probably yes,Probably not,Definitely not,,British English,Never,Yes,Neither yes or no,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Disagree,Probably not,35-39,Canada,Quebec,male,graduate degree,I am not currently studying,BC,6,no,,4-6 hours
Strongly agree,Neutral,Yes,Moderately uncomfortable,,No,No,,zed,Neither unimportant nor important,Probably yes,Probably not,Definitely not,Yes (please specify who):,British English,Often,,Neither yes or no,Definitely yes,Definitely yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Definitely yes,40-44,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,1-2 hours
Agree,Neutral,Yes,Neither comfortable nor uncomfortable,Important,No,Not sure,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably yes,Definitely not,No,British English,Sometimes,Yes,Yes,Definitely yes,Might or might not,Agree,Disagree,Neither disagree nor agree,Disagree,Probably yes,25-29,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,no,,30 minutes to 1 hour
Agree,Probably yes,No,,Unimportant,Yes,No,,zed,Neither unimportant nor important,Probably yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,No,Yes,Probably yes,Probably yes,Agree,Agree,Agree,Neither disagree nor agree,Probably yes,35-39,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,no,,4-6 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,,Canadian English,Sometimes,Yes,Neither yes or no,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Disagree,Definitely yes,25-29,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,no,,less than 30 minutes
Strongly agree,Neutral,No,,Important,,Yes,"Yes, but I can't describe it well",zee,Neither unimportant nor important,Definitely yes,Definitely yes,Definitely not,,British English,Often,Yes,Definitely yes,Definitely yes,Probably not,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Agree,Definitely yes,40-44,Canada,Alberta,female,high school,I am not currently studying,AB,0,no,,2-4 hours
Strongly agree,Neutral,Yes,Extremely comfortable,Unimportant,That depends (please also explain if you can),No,,both,Unimportant,Probably not,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Neither yes or no,Definitely yes,Definitely not,Agree,Disagree,Agree,Agree,Probably yes,35-39,Canada,Quebec,male,other (please specify):,I am not currently studying,QC,4,no,,1-2 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,,That depends (please also explain if you can),Not sure,,zed,Neither unimportant nor important,,Don't know,Definitely not,,British English,Sometimes,,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Probably not,40-44,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,NL,0,no,,30 minutes to 1 hour
Strongly agree,Probably not,No,,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",zee,Important,Definitely yes,Probably yes,Definitely not,No,British English,Often,Yes,Yes,Definitely yes,Definitely yes,Strongly agree,Disagree,Don't know,Neither disagree nor agree,Definitely yes,25-29,Canada,British Columbia,male,graduate degree,I am in a graduate program,SK,0,yes (please specify):,6,1-2 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Unimportant,Yes,Yes,"Yes, but I can't describe it well",zee,Neither unimportant nor important,,Probably yes,Definitely not,,No particular variety,Sometimes,No,Don't know,Definitely yes,Probably yes,Strongly agree,Agree,Strongly agree,Neither disagree nor agree,Probably yes,30-34,Canada,Quebec,female,undergraduate degree,I am not currently studying,QC,3,no,,1-2 hours
Strongly agree,Probably yes,No,,Important,Yes,Not sure,,zed,Important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Disagree,Agree,Disagree,Probably yes,30-34,Canada,Alberta,male,other (please specify):,I am not currently studying,SK,0,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Moderately comfortable,Extremely important,No,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,Canadian English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Definitely yes,40-44,Canada,Saskatchewan,non-binary,post-graduate degree,Fourth year+,SK,5,yes (please specify):,14,less than 30 minutes
Agree,Neutral,No,,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Agree,Definitely yes,40-44,Canada,Alberta,female,other (please specify):,I am not currently studying,AB,2,yes (please specify):,0,2-4 hours
Strongly agree,Probably not,Yes,Extremely comfortable,Important,No,No,,zed,Important,Probably yes,Probably yes,Probably not,No,No particular variety,Never,Yes,No,Probably not,Probably not,Strongly agree,Strongly agree,Neither disagree nor agree,Strongly agree,,65-69,Canada,Quebec,male,graduate degree,I am not currently studying,QC,5,no,,1-2 hours
Strongly agree,Neutral,No,,Important,,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Might or might not,Definitely yes,Definitely not,,British English,Sometimes,Yes,Neither yes or no,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Definitely yes,25-29,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,no,,more than 8 hours
Strongly agree,Probably not,No,,Important,That depends (please also explain if you can),Yes,,zee,Important,Probably yes,Definitely yes,Definitely not,,British English,Often,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Disagree,Disagree,Disagree,Definitely yes,20-24,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,2-4 hours
Agree,Neutral,No,,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Sometimes,Yes,Yes,Probably yes,Probably yes,Disagree,Disagree,Agree,Neither disagree nor agree,Probably yes,40-44,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,no,,1-2 hours
Strongly agree,Neutral,No,,Extremely important,Yes,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,No,Canadian English,Always,Yes,Definitely yes,Probably yes,Definitely not,Strongly agree,Disagree,Neither disagree nor agree,Strongly disagree,Definitely yes,60-64,Canada,Alberta,female,undergraduate degree,I am not currently studying,AB,0,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Moderately uncomfortable,Important,No,No,,both,Important,Probably yes,Don't know,Probably not,No,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Agree,Agree,Agree,Neither disagree nor agree,Probably yes,25-29,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,4-6 hours
Strongly agree,Probably yes,No,,Important,,Not sure,,zed,Important,Probably yes,Probably yes,Probably not,,British English,Often,Yes,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Probably yes,45-49,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,1,no,,30 minutes to 1 hour
Strongly agree,Probably yes,No,,Extremely important,No,Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Definitely yes,Probably not,,British English,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly disagree,Strongly disagree,,Strongly agree,Definitely yes,30-34,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,yes (please specify):,3,30 minutes to 1 hour
Agree,Definitely yes,No,,Extremely important,No,Yes,,zed,Very important,Definitely yes,Probably yes,Definitely not,No,British English,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,45-49,Canada,Saskatchewan,male,other (please specify):,I am not currently studying,X,0,no,,1-2 hours
Strongly agree,Probably yes,No,,Unimportant,That depends (please also explain if you can),Not sure,,both,Neither unimportant nor important,Definitely not,Probably yes,Definitely not,Yes (please specify who):,British English,Often,No,Neither yes or no,Definitely yes,Probably yes,Agree,Disagree,Agree,Neither disagree nor agree,Definitely yes,25-29,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,yes (please specify):,5,4-6 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,No,Yes,"Yes, but I can't describe it well",zee,Important,Probably yes,Probably yes,Probably not,No,British English,Often,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Probably yes,35-39,Canada,Quebec,female,undergraduate degree,I am not currently studying,QC,1,no,,2-4 hours
Somewhat agree,Probably not,No,,Important,Yes,Yes,"Yes, but I can't describe it well",both,Neither unimportant nor important,Probably yes,Probably yes,Probably not,,British English,Sometimes,,Don't know,Probably yes,Probably yes,Agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,25-29,Canada,Quebec,female,high school,I am not currently studying,MB,0,no,,1-2 hours
Strongly agree,Probably yes,No,,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Very important,Definitely yes,Probably yes,Definitely not,,British English,Often,Yes,Yes,Definitely yes,Probably yes,Disagree,Disagree,Strongly agree,Neither disagree nor agree,Probably yes,25-29,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,no,,2-4 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,,That depends (please also explain if you can),Yes,,zee,Neither unimportant nor important,Might or might not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Always,,Neither yes or no,Definitely yes,Probably not,Strongly agree,Agree,Agree,Strongly agree,Probably yes,20-24,Canada,Quebec,male,other (please specify):,First year,QC,0,yes (please specify):,5,more than 8 hours
Strongly agree,Probably yes,No,,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Important,Might or might not,Probably yes,Definitely not,No,No particular variety,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Disagree,Disagree,Agree,Neither disagree nor agree,Probably yes,15-19,Canada,Saskatchewan,male,,,Blank,0,,0,
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,No,Not sure,,both,Neither unimportant nor important,Probably yes,Probably yes,Probably not,Yes (please specify who):,British English,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Agree,Strongly agree,Agree,Probably yes,30-34,Canada,Saskatchewan,male,undergraduate degree,I am not currently studying,SK,0,no,,I don't use social media
Strongly agree,Definitely yes,Yes,Extremely comfortable,Extremely important,Yes,No,,zee,Very unimportant,Definitely not,Definitely not,Definitely yes,No,American English,Always,No,Definitely not,Definitely yes,Definitely yes,Strongly agree,Neither disagree nor agree,Agree,Disagree,Probably not,15-19,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,no,,1-2 hours
Strongly agree,Probably yes,No,,Unimportant,No,No,,zee,Neither unimportant nor important,Probably yes,Probably yes,Probably not,No,American English,Sometimes,,Neither yes or no,Definitely yes,Might or might not,Agree,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Probably yes,40-44,Canada,Saskatchewan,male,other (please specify):,I am not currently studying,SK,0,yes (please specify):,7,4-6 hours
Strongly agree,Definitely not,No,,Unimportant,Yes,No,,zed,Important,Definitely yes,Probably not,Definitely not,No,British English,Sometimes,Yes,No,Definitely yes,Definitely yes,Strongly agree,Strongly disagree,Agree,Strongly disagree,Probably yes,35-39,Canada,Alberta,female,undergraduate degree,I am not currently studying,NL,0,no,,6-8 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zee,Very unimportant,Definitely not,Probably yes,,Yes (please specify who):,No particular variety,Sometimes,,Neither yes or no,Definitely yes,Might or might not,Strongly agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,40-44,Canada,Quebec,male,undergraduate degree,I am not currently studying,QC,2,no,,1-2 hours
Agree,Probably yes,Yes,Moderately comfortable,,No,No,,not sure,Neither unimportant nor important,Might or might not,Probably not,Probably yes,No,Canadian English,Never,Yes,Neither yes or no,Probably not,Probably yes,Disagree,Disagree,Agree,Disagree,,20-24,United States,Illinois,female,high school,Fourth year+,Germany,8,no,,4-6 hours
Somewhat agree,Definitely yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Very important,Probably yes,Definitely yes,Probably not,Yes (please specify who):,British English,Always,Yes,Yes,Definitely yes,Probably yes,Disagree,Disagree,Strongly agree,Neither disagree nor agree,Definitely yes,35-39,Japan,,female,graduate degree,I am not currently studying,ON,4,no,,2-4 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zed,Important,Definitely yes,Probably yes,Probably not,,No particular variety,Often,Yes,Yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,,Definitely yes,50-54,Canada,Quebec,female,undergraduate degree,I am not currently studying,ON,4,no,,1-2 hours
Agree,Probably yes,Yes,Neither comfortable nor uncomfortable,Extremely important,That depends (please also explain if you can),No,,both,Important,Might or might not,Probably not,,,No particular variety,Sometimes,Yes,Definitely yes,Probably yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Neither disagree nor agree,Probably yes,30-34,Canada,Saskatchewan,female,undergraduate degree,I am not currently studying,SK,0,no,,4-6 hours
Agree,Probably yes,No,,Unimportant,No,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Unimportant,Probably not,Probably not,Definitely not,Yes (please specify who):,Singaporean English,Often,No,Don't know,Definitely not,Probably yes,Agree,Neither disagree nor agree,Neither disagree nor agree,Disagree,Definitely yes,30-34,Canada,Quebec,male,graduate degree,I am not currently studying,SK,0,no,,2-4 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Unimportant,No,No,,zee,Very unimportant,Definitely not,Probably not,Probably not,No,No particular variety,Often,No,No,Probably not,Probably yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Probably not,15-19,Canada,Quebec,male,high school,Second year,QC,13,no,,1-2 hours
Strongly agree,Neutral,Yes,Extremely comfortable,Unimportant,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zee,Very unimportant,Definitely not,Definitely not,Definitely not,Yes (please specify who):,Other (please name):,Always,No,Definitely not,Definitely yes,Probably not,Strongly agree,Strongly agree,Strongly disagree,Neither disagree nor agree,Probably yes,30-34,Canada,Quebec,male,post-graduate degree,I am not currently studying,X,5,yes (please specify):,11,1-2 hours
