Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Neutral,,Neither comfortable nor uncomfortable,Extremely important,That depends (please also explain if you can),No,,zed,Very important,Definitely yes,Probably yes,Probably not,No,British English,Don't know,Yes,Yes,Definitely yes,Probably yes,Disagree,Disagree,,Disagree,Probably not,25-29,Canada,Alberta,female,undergraduate degree,I am not currently studying,AB,1,no,,1-2 hours
Strongly agree,Probably yes,No,,Unimportant,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Unimportant,Definitely yes,Probably not,Probably not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Probably yes,Strongly agree,Agree,Agree,Agree,Definitely yes,30-34,Canada,Manitoba,non-binary,high school,I am not currently studying,AB,0,no,,30 minutes to 1 hour
Strongly agree,Definitely yes,Yes,Moderately comfortable,Important,No,No,,both,Neither unimportant nor important,Probably not,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Yes,Definitely yes,Might or might not,Neither disagree nor agree,Neither disagree nor agree,Agree,Strongly agree,Definitely yes,35-39,Canada,British Columbia,female,graduate degree,I am not currently studying,BC,0,no,,2-4 hours
Agree,Probably not,No,,Important,No,Yes,"Yes, but I can't describe it well",zed,Important,Probably yes,Probably yes,Definitely not,,British English,Sometimes,Yes,Yes,Definitely yes,Probably yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Strongly agree,Definitely yes,20-24,Canada,Alberta,male,high school,Third year,AB,0,no,,2-4 hours
Strongly agree,Neutral,No,,Important,Yes,No,,both,Neither unimportant nor important,Probably yes,Probably not,Definitely not,No,Canadian English,Sometimes,Yes,No,Definitely yes,Probably yes,Strongly agree,Disagree,Agree,Neither disagree nor agree,Probably yes,35-39,Canada,British Columbia,male,graduate degree,I am not currently studying,AB,0,no,,2-4 hours
Strongly agree,Probably yes,Yes,Neither comfortable nor uncomfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, but I can't describe it well",zee,Very important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,Other (please name):,Sometimes,Yes,Definitely yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Strongly agree,Agree,Definitely yes,40-44,Canada,Ontario,female,post-graduate degree,I am not currently studying,US,0,no,,2-4 hours
Agree,Neutral,No,,,,No,,zed,Neither unimportant nor important,Probably yes,Definitely not,Definitely not,Yes (please specify who):,No particular variety,Often,Yes,Don't know,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Probably yes,35-39,Canada,Ontario,male,undergraduate degree,I am not currently studying,ON,0,no,,less than 30 minutes
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,Yes,Yes,"Yes, but I can't describe it well",both,Important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,No particular variety,Rarely,Yes,Neither yes or no,Definitely yes,Probably yes,Disagree,Agree,Strongly agree,Neither disagree nor agree,Probably yes,30-34,Canada,Alberta,male,post-graduate degree,I am in a graduate program,AB,3,no,,30 minutes to 1 hour
Strongly agree,Probably yes,No,,Important,That depends (please also explain if you can),No,,zed,Very important,Probably yes,Probably not,Probably yes,Yes (please specify who):,British English,Sometimes,,Yes,Definitely yes,Probably yes,Agree,Agree,Agree,Strongly disagree,Probably yes,55-59,Canada,British Columbia,female,other (please specify):,I am not currently studying,BC,0,yes (please specify):,7,1-2 hours
Agree,Probably not,Yes,Moderately uncomfortable,Important,Yes,Yes,"Yes, but I can't describe it well",zed,Important,Might or might not,Definitely not,Probably not,,American English,Sometimes,No,Definitely not,Definitely yes,Might or might not,Strongly agree,Neither disagree nor agree,Disagree,Agree,Probably yes,30-34,Canada,British Columbia,male,undergraduate degree,I am not currently studying,X,0,no,,1-2 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Extremely important,Yes,Yes,"Yes, but I can't describe it well",both,Important,Definitely yes,Probably yes,Definitely not,,British English,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Disagree,Disagree,Strongly agree,Strongly agree,Definitely yes,35-39,Canada,Alberta,female,undergraduate degree,I am not currently studying,MB,2,no,,less than 30 minutes
Strongly agree,Definitely not,Yes,Extremely comfortable,Extremely unimportant,No,No,,both,Important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,,Often,Yes,Neither yes or no,Definitely yes,Definitely yes,Strongly agree,Strongly disagree,Neither disagree nor agree,Strongly disagree,Definitely yes,30-34,Canada,Quebec,male,post-graduate degree,I am not currently studying,QC,9,no,,I don't use social media
