cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,not sure,yes i do know it is ,zed,important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,agree,definitely yes,29,canada,british columbia,male,graduate degree,i am not currently studying,bc,1,no,,24 hours,4
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,not sure,,zee,important,probably yes,probably yes,,yes ,british english,rarely,yes,definitely yes,might or might not,might or might not,agree,disagree,neither disagree nor agree,disagree,probably yes,59,canada,quebec,female,undergraduate degree,i am not currently studying,qc,6,no,,12 hours,3
agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,definitely yes,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,agree,definitely yes,74,canada,ontario,male,postgraduate degree,i am not currently studying,on,1,yes ,5,12 hours,4
strongly agree,definitely yes,yes,moderately comfortable,unimportant,yes,no,,zee,unimportant,probably yes,probably yes,probably yes,no,jamaican english,sometimes,no,no,definitely yes,probably yes,strongly agree,disagree,agree,agree,probably yes,29,canada,british columbia,male,graduate degree,i am not currently studying,bc,0,no,,12 hours,3
strongly agree,definitely not,yes,moderately comfortable,extremely important,yes,yes,yes i do know it is ,zee,important,probably yes,probably yes,probably not,no,british english,rarely,yes,yes,definitely yes,might or might not,strongly agree,disagree,agree,agree,probably yes,64,canada,quebec,female,undergraduate degree,i am not currently studying,qc,9,no,,24 hours,3
strongly agree,probably yes,no,,important,yes,yes,yes but i cant describe it well,zed,important,probably yes,,,,british english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,disagree,agree,strongly agree,probably yes,59,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,0,no,,24 hours,3
strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,always,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,definitely yes,59,canada,ontario,female,graduate degree,other degree ,on,4,no,,30 minutes to 1 hour,4
strongly agree,probably yes,yes,moderately comfortable,unimportant,no,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,probably not,definitely not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,undergraduate degree,i am in a graduate program,bc,0,yes ,6,24 hours,3
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably yes,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,strongly disagree,agree,disagree,definitely yes,29,canada,ontario,male,graduate degree,third yeari am in a graduate program,on,4,yes ,7,24 hours,4
strongly disagreee,definitely yes,yes,extremely comfortable,unimportant,no,no,,zed,unimportant,might or might not,definitely not,probably not,,british english,never,no,no,probably not,probably not,agree,agree,disagree,agree,probably not,29,canada,quebec,female,graduate degree,i am not currently studying,qc,13,yes ,0,,2
strongly agree,neutral,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly disagree,disagree,strongly agree,agree,probably yes,49,canada,manitoba,female,postgraduate degree,i am not currently studying,mb,1,yes ,0,,3
strongly disagreee,probably yes,no,,,yes,yes,,zee,neither unimportant nor important,might or might not,,,no,british english,sometimes,,neither yes or no,definitely not,might or might not,neither disagree nor agree,neither disagree nor agree,,agree,definitely not,24,canada,british columbia,male,undergraduate degree,fourth year+,bc,2,no,,24 hours,1
strongly agree,definitely yes,yes,extremely comfortable,important,yes,not sure,,zed,important,probably yes,probably yes,probably yes,,british english,often,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,5,no,,24 hours,3
strongly agree,probably yes,yes,moderately uncomfortable,extremely important,no,yes,,zed,unimportant,definitely yes,probably not,probably yes,,british english,sometimes,,yes,probably yes,probably not,agree,agree,agree,agree,probably not,54,canada,yukon,female,undergraduate degree,i am not currently studying,qc,6,no,,12 hours,2
strongly agree,probably not,no,,important,,yes,yes i do know it is ,zed,important,probably yes,definitely yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,64,canada,ontario,female,postgraduate degree,i am not currently studying,on,0,no,,24 hours,4
