cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
agree,probably not,no,,important,yes,no,,zed,important,probably yes,,,,no particular variety,often,,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,probably yes,29,canada,alberta,female,high school,i am not currently studying,sk,0,no,,30 minutes to 1 hour,4,,3,4,4,,3.66666666666667,3.88888888888889
strongly agree,definitely not,no,,extremely important,yes,no,,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,no,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,strongly agree,neither disagree nor agree,neither disagree nor agree,,definitely yes,29,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,yes ,0,12 hours,4,4,4,3,4,5,5,4.25
strongly agree,definitely yes,no,,,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably not,probably not,yes ,other ,often,yes,definitely yes,definitely yes,definitely yes,strongly disagree,strongly disagree,agree,strongly agree,probably yes,54,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,0,no,,24 hours,5,2,3,5,5,2.33333333333333,3.66666666666667,4
strongly agree,probably not,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,definitely not,no,british english,often,yes,no,definitely yes,probably yes,strongly disagree,strongly disagree,agree,neither disagree nor agree,definitely yes,34,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,yes ,10,30 minutes to 1 hour,4,3,4,3,4,3.66666666666667,5,3.91666666666667
somewhat agree,neutral,no,,unimportant,that depends ,no,,both,unimportant,definitely yes,definitely not,definitely not,yes ,no particular variety,always,,definitely not,probably yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,44,canada,alberta,female,undergraduate degree,fourth year+,us,0,no,,less than 30 minutes,5,1,3,2,5,1,3.66666666666667,2.91666666666667
agree,probably yes,no,,important,that depends ,no,,zed,neither unimportant nor important,probably not,definitely yes,definitely not,,no particular variety,sometimes,yes,definitely yes,probably yes,definitely yes,agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,34,canada,alberta,male,graduate degree,i am not currently studying,ab,0,yes ,12,30 minutes to 1 hour,2,4,4,3,2,5,5,3.75
strongly agree,neutral,no,,extremely important,yes,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,probably yes,probably yes,strongly agree,agree,strongly agree,strongly agree,definitely yes,64,canada,alberta,female,graduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,5,3,4,5,5,3.66666666666667,5,4.66666666666667
strongly disagreee,probably yes,no,,extremely important,yes,no,,zed,important,definitely yes,probably yes,definitely not,no,no particular variety,rarely,yes,yes,definitely yes,definitely yes,agree,disagree,strongly agree,disagree,definitely yes,39,canada,alberta,male,undergraduate degree,i am not currently studying,sk,1,no,,30 minutes to 1 hour,5,3,4,4,5,3.66666666666667,5,4.41666666666667
strongly agree,probably yes,no,,extremely important,no,no,,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,agree,strongly agree,neither disagree nor agree,definitely yes,44,canada,alberta,male,postgraduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,5,3,4,5,5,3.66666666666667,5,4.66666666666667
agree,probably yes,no,,important,no,no,,zed,neither unimportant nor important,probably yes,probably not,probably yes,no,no particular variety,sometimes,yes,,definitely yes,definitely yes,neither disagree nor agree,strongly disagree,agree,strongly disagree,probably not,54,canada,manitoba,male,undergraduate degree,i am not currently studying,mb,0,no,,24 hours,4,2,2,3,4,2.33333333333333,2.33333333333333,2.91666666666667
agree,probably not,no,,important,yes,not sure,,zed,neither unimportant nor important,probably yes,,definitely not,,american english,often,yes,yes,definitely yes,definitely yes,disagree,disagree,neither disagree nor agree,strongly disagree,probably yes,39,canada,manitoba,male,high school,i am not currently studying,mb,0,no,,12 hours,4,,3,3,4,,3.66666666666667,3.55555555555556
strongly agree,definitely yes,no,,important,yes,yes,yes i do know it is ,zed,important,definitely yes,definitely yes,probably not,no,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,69,canada,prince edward island,female,graduate degree,i am not currently studying,,0,yes ,3,i dont use social media,5,4,4,4,5,5,5,4.75
strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,no,yes i do know it is ,zed,very important,definitely yes,,definitely not,no,other ,often,yes,definitely yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,59,canada,alberta,other,postgraduate degree,i am not currently studying,,3,yes ,0,,5,,3,5,5,,3.66666666666667,4.55555555555556
strongly agree,definitely yes,yes,extremely comfortable,extremely important,that depends ,no,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,no,other ,sometimes,yes,neither yes or no,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,,54,canada,alberta,other,graduate degree,i am not currently studying,,4,yes ,8,24 hours,5,3,,5,5,3.66666666666667,,4.55555555555556
strongly agree,neutral,yes,moderately comfortable,important,that depends ,not sure,,zed,neither unimportant nor important,probably yes,probably yes,definitely not,no,no particular variety,,yes,yes,probably yes,probably yes,strongly disagree,strongly disagree,agree,strongly agree,probably yes,34,canada,prince edward island,male,graduate degree,i am not currently studying,bc,0,no,,24 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly disagreee,definitely yes,yes,moderately comfortable,,that depends ,yes,yes but i cant describe it well,both,unimportant,probably not,probably yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,might or might not,neither disagree nor agree,disagree,strongly agree,neither disagree nor agree,probably yes,19,canada,british columbia,male,high school,fourth year+,bc,5,no,,24 hours,2,3,3,2,2,3.66666666666667,3.66666666666667,2.83333333333333
somewhat agree,neutral,no,,extremely important,that depends ,no,yes i do know it is ,both,important,definitely yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,strongly agree,strongly agree,probably yes,29,canada,alberta,male,other ,i am not currently studying,ab,0,yes ,4,12 hours,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
somewhat disagree,definitely not,yes,extremely comfortable,,yes,no,,both,very important,definitely not,probably not,probably not,,other ,sometimes,no,definitely not,probably yes,probably yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,probably yes,19,canada,manitoba,male,high school,second year,mb,0,yes ,5,less than 30 minutes,1,2,3,5,1,2.33333333333333,3.66666666666667,3
strongly agree,probably not,yes,moderately comfortable,important,that depends ,not sure,,zee,neither unimportant nor important,probably not,probably yes,definitely not,,british english,often,yes,definitely yes,probably yes,probably yes,disagree,disagree,strongly agree,disagree,probably yes,39,canada,alberta,female,postgraduate degree,i am in a graduate program,mb,0,no,,12 hours,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
strongly disagreee,probably yes,no,,extremely unimportant,yes,no,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,strongly disagree,probably yes,69,canada,manitoba,female,undergraduate degree,i am not currently studying,mb,0,no,,i dont use social media,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,neutral,yes,moderately uncomfortable,,that depends ,not sure,yes but i cant describe it well,both,important,probably yes,probably not,,,no particular variety,,,neither yes or no,probably not,probably yes,agree,neither disagree nor agree,neither disagree nor agree,agree,probably not,19,canada,british columbia,male,elementary school,i am not currently studying,canada,3,no,,i dont use social media,4,2,2,4,4,2.33333333333333,2.33333333333333,3.16666666666667
strongly agree,definitely yes,no,,extremely important,that depends ,no,,zee,important,probably yes,probably yes,probably not,yes ,no particular variety,often,,yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,alberta,male,high school,i am not currently studying,ab,0,no,,30 minutes to 1 hour,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,definitely yes,yes,moderately comfortable,extremely important,that depends ,yes,yes i do know it is ,zed,important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,might or might not,agree,agree,strongly agree,neither disagree nor agree,definitely yes,29,canada,alberta,female,undergraduate degree,first year,ab,0,no,,30 minutes to 1 hour,5,4,4,4,5,5,5,4.75
strongly agree,probably yes,no,,,yes,no,,both,neither unimportant nor important,might or might not,probably not,definitely not,yes ,british english,sometimes,yes,neither yes or no,definitely yes,might or might not,agree,disagree,strongly agree,neither disagree nor agree,,34,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,3,2,,3,3,2.33333333333333,,2.77777777777778
strongly agree,probably yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,definitely yes,definitely yes,probably yes,strongly agree,strongly agree,strongly disagree,agree,probably not,39,canada,alberta,female,postgraduate degree,i am not currently studying,qc,4,yes ,5,24 hours,5,3,2,5,5,3.66666666666667,2.33333333333333,4
strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,both,important,probably not,probably yes,probably not,,no particular variety,sometimes,yes,yes,might or might not,probably yes,agree,agree,strongly agree,agree,probably yes,29,canada,alberta,female,high school,i am not currently studying,ab,0,no,,i dont use social media,2,3,3,4,2,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,probably yes,no,,important,yes,not sure,,zed,important,probably yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,strongly agree,strongly disagree,neither disagree nor agree,disagree,probably yes,49,canada,manitoba,male,undergraduate degree,i am not currently studying,mb,0,no,,68 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,definitely yes,yes,extremely comfortable,unimportant,that depends ,no,,zee,very important,might or might not,probably yes,definitely not,yes ,british english,always,yes,,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,strongly agree,definitely yes,29,canada,newfoundland and labrador,male,undergraduate degree,other degree ,nl,0,no,,30 minutes to 1 hour,3,3,4,5,3,3.66666666666667,5,4.16666666666667
strongly agree,probably yes,no,,unimportant,no,no,,both,unimportant,probably not,definitely not,probably not,no,british english,often,no,no,probably yes,definitely yes,disagree,disagree,,,probably yes,54,canada,manitoba,male,postgraduate degree,i am not currently studying,us,1,no,,i dont use social media,2,1,3,2,2,1,3.66666666666667,2.16666666666667
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,yes ,no particular variety,often,yes,yes,probably yes,might or might not,agree,agree,strongly agree,neither disagree nor agree,definitely yes,44,canada,alberta,female,undergraduate degree,i am not currently studying,ab,1,no,,less than 30 minutes,4,4,4,3,4,5,5,4.25
agree,neutral,no,,unimportant,no,no,,zee,neither unimportant nor important,,probably not,,no,no particular variety,rarely,no,neither yes or no,definitely yes,probably not,neither disagree nor agree,disagree,neither disagree nor agree,neither disagree nor agree,probably not,49,canada,alberta,male,graduate degree,i am not currently studying,us,0,no,,12 hours,,2,2,3,,2.33333333333333,2.33333333333333,2.55555555555556
strongly agree,neutral,no,,,no,yes,yes but i cant describe it well,both,unimportant,might or might not,probably not,definitely not,no,no particular variety,often,yes,no,probably yes,might or might not,strongly disagree,strongly disagree,agree,neither disagree nor agree,probably not,39,canada,alberta,female,graduate degree,i am not currently studying,on,0,no,,24 hours,3,2,2,2,3,2.33333333333333,2.33333333333333,2.41666666666667
strongly agree,probably yes,no,,extremely important,no,not sure,,zed,very important,definitely yes,definitely yes,definitely not,yes ,canadian english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,agree,agree,agree,definitely yes,79,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,yes ,15,less than 30 minutes,5,4,4,5,5,5,5,5
strongly agree,definitely yes,yes,moderately uncomfortable,important,that depends ,not sure,yes but i cant describe it well,both,important,definitely yes,probably yes,probably yes,yes ,british english,sometimes,yes,definitely yes,definitely yes,definitely yes,agree,neither disagree nor agree,agree,neither disagree nor agree,,54,canada,british columbia,male,graduate degree,i am not currently studying,malaysia,9,no,,30 minutes to 1 hour,5,3,,4,5,3.66666666666667,,4.22222222222222
strongly agree,probably not,no,,important,yes,yes,yes but i cant describe it well,zed,important,definitely yes,probably not,definitely not,,no particular variety,often,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,agree,definitely yes,49,canada,manitoba,male,undergraduate degree,i am not currently studying,on,0,no,,i dont use social media,5,2,4,4,5,2.33333333333333,5,4.08333333333333
agree,probably not,no,,important,that depends ,not sure,,zee,very important,definitely yes,probably yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely not,probably not,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,64,canada,alberta,male,high school,i am not currently studying,qc,0,no,,i dont use social media,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
agree,probably yes,no,,extremely important,no,no,,zed,important,definitely yes,probably yes,probably not,yes ,british english,sometimes,yes,yes,probably yes,definitely yes,neither disagree nor agree,agree,agree,disagree,probably yes,29,canada,alberta,male,undergraduate degree,i am in a graduate program,ab,0,no,,i dont use social media,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,definitely not,,canadian english,sometimes,no,neither yes or no,probably yes,probably yes,disagree,disagree,agree,agree,probably yes,44,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,30 minutes to 1 hour,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,definitely yes,no,,important,that depends ,yes,yes i do know it is ,zed,important,probably yes,definitely yes,definitely not,,british english,sometimes,yes,definitely yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,probably yes,44,canada,manitoba,other,other ,i am not currently studying,mb,0,yes ,2,46 hours,4,4,3,4,4,5,3.66666666666667,4.16666666666667
strongly agree,probably not,yes,neither comfortable nor uncomfortable,important,yes,no,,zed,unimportant,probably not,probably not,definitely not,no,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,disagree,agree,probably not,59,canada,alberta,male,undergraduate degree,,ab,0,no,,30 minutes to 1 hour,2,2,2,2,2,2.33333333333333,2.33333333333333,2.16666666666667
somewhat agree,neutral,no,,important,no,yes,,zed,unimportant,probably not,probably yes,probably not,yes ,no particular variety,sometimes,no,yes,definitely yes,probably yes,disagree,disagree,agree,disagree,probably not,34,canada,alberta,male,other ,i am not currently studying,ab,0,yes ,0,30 minutes to 1 hour,2,3,2,2,2,3.66666666666667,2.33333333333333,2.5
strongly agree,definitely yes,no,,extremely important,yes,not sure,yes i do know it is ,both,important,definitely yes,probably yes,definitely not,yes ,british english,often,yes,yes,definitely yes,definitely yes,agree,agree,,disagree,definitely yes,24,canada,alberta,female,graduate degree,i am in a graduate program,ab,0,no,,12 hours,5,3,4,4,5,3.66666666666667,5,4.41666666666667
strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably not,probably not,,british english,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,probably yes,39,canada,alberta,other,high school,i am not currently studying,ab,0,no,,less than 30 minutes,2,2,3,3,2,2.33333333333333,3.66666666666667,2.75
strongly agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,,british english,sometimes,yes,yes,probably yes,probably yes,disagree,disagree,strongly agree,strongly agree,probably yes,24,canada,british columbia,male,high school,third year,china,9,yes ,7,24 hours,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,definitely yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,39,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,no,,12 hours,4,4,3,3,4,5,3.66666666666667,3.91666666666667
,probably not,yes,extremely comfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,definitely yes,definitely not,no,british english,often,,neither yes or no,definitely yes,probably yes,strongly agree,strongly disagree,neither disagree nor agree,strongly disagree,probably yes,64,canada,alberta,male,postgraduate degree,i am not currently studying,on,0,yes ,12,12 hours,3,4,3,3,3,5,3.66666666666667,3.66666666666667
strongly agree,definitely yes,yes,extremely comfortable,extremely important,no,yes,yes but i cant describe it well,zed,very important,definitely yes,definitely yes,probably yes,yes ,british english,always,yes,definitely yes,definitely yes,definitely yes,strongly agree,strongly agree,strongly disagree,neither disagree nor agree,definitely yes,59,canada,manitoba,male,undergraduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,5,4,4,5,5,5,5,5
strongly agree,neutral,yes,extremely comfortable,extremely important,that depends ,not sure,,zed,important,definitely yes,probably yes,definitely not,yes ,british english,rarely,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,disagree,probably not,49,canada,british columbia,male,undergraduate degree,i am not currently studying,bc,6,yes ,12,less than 30 minutes,5,3,2,4,5,3.66666666666667,2.33333333333333,3.75
strongly agree,probably yes,no,,important,that depends ,yes,yes i do know it is ,both,important,definitely yes,probably yes,probably not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,agree,agree,agree,neither disagree nor agree,probably yes,39,canada,alberta,female,other ,i am not currently studying,ab,0,no,,30 minutes to 1 hour,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
agree,definitely not,yes,extremely comfortable,important,yes,no,,zed,neither unimportant nor important,probably yes,probably not,probably yes,yes ,british english,sometimes,yes,yes,definitely yes,might or might not,agree,disagree,neither disagree nor agree,strongly disagree,,44,canada,alberta,male,undergraduate degree,i am not currently studying,on,0,no,,12 hours,4,2,,3,4,2.33333333333333,,3.11111111111111
strongly agree,neutral,no,,,yes,no,,zed,unimportant,might or might not,,probably not,yes ,british english,sometimes,no,yes,definitely yes,probably yes,strongly agree,disagree,strongly disagree,strongly disagree,probably yes,79,canada,british columbia,female,other ,i am not currently studying,on,0,no,,less than 30 minutes,3,,3,2,3,,3.66666666666667,2.88888888888889
strongly disagreee,probably yes,yes,moderately comfortable,important,yes,no,,both,important,definitely yes,definitely yes,definitely not,yes ,british english,often,yes,definitely yes,definitely yes,definitely yes,agree,agree,neither disagree nor agree,strongly agree,definitely yes,44,canada,prince edward island,male,graduate degree,i am not currently studying,pei,1,yes ,0,30 minutes to 1 hour,5,4,4,4,5,5,5,4.75
strongly agree,probably not,no,,important,yes,no,,zed,important,probably yes,probably yes,probably not,,british english,,yes,yes,definitely yes,might or might not,strongly disagree,strongly disagree,strongly agree,neither disagree nor agree,,39,canada,alberta,female,other ,i am not currently studying,blank,0,no,,24 hours,4,3,,4,4,3.66666666666667,,3.88888888888889
strongly agree,neutral,yes,moderately uncomfortable,extremely important,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,definitely yes,definitely not,yes ,other ,often,yes,neither yes or no,probably yes,might or might not,neither disagree nor agree,disagree,agree,agree,definitely yes,44,canada,alberta,male,high school,i am not currently studying,ab,0,no,,12 hours,5,4,4,5,5,5,5,5
strongly agree,probably not,yes,extremely comfortable,important,that depends ,not sure,,zed,important,probably yes,probably not,definitely not,yes ,british english,sometimes,yes,no,definitely yes,probably yes,agree,agree,agree,disagree,probably yes,54,canada,alberta,male,undergraduate degree,i am not currently studying,ab,0,no,,24 hours,4,2,3,4,4,2.33333333333333,3.66666666666667,3.5
strongly agree,definitely yes,no,,important,,yes,yes but i cant describe it well,zee,important,probably yes,probably yes,probably not,,no particular variety,sometimes,yes,yes,probably yes,definitely yes,agree,disagree,agree,agree,probably yes,49,canada,alberta,female,graduate degree,i am not currently studying,bc,0,no,,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,no,,important,no,yes,yes but i cant describe it well,zee,very important,definitely yes,probably yes,probably not,,british english,sometimes,yes,definitely yes,definitely not,probably yes,disagree,disagree,agree,neither disagree nor agree,,44,canada,nova scotia,female,graduate degree,i am not currently studying,bc,0,no,,30 minutes to 1 hour,5,3,,5,5,3.66666666666667,,4.55555555555556
strongly agree,neutral,no,,unimportant,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,probably yes,probably not,yes ,no particular variety,often,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,34,canada,manitoba,male,high school,i am not currently studying,mb,0,yes ,6,12 hours,4,3,3,3,4,3.66666666666667,3.66666666666667,3.58333333333333
strongly agree,probably yes,no,,important,,yes,yes but i cant describe it well,zee,neither unimportant nor important,probably yes,,probably not,yes ,british english,sometimes,,neither yes or no,definitely yes,probably yes,agree,neither disagree nor agree,strongly agree,neither disagree nor agree,probably yes,29,canada,manitoba,male,high school,i am not currently studying,mb,0,no,,30 minutes to 1 hour,4,,3,3,4,,3.66666666666667,3.55555555555556
strongly agree,neutral,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,,british english,sometimes,yes,,definitely yes,probably yes,disagree,disagree,strongly agree,strongly agree,definitely yes,44,canada,british columbia,male,undergraduate degree,i am not currently studying,bc,0,no,,12 hours,4,4,4,3,4,5,5,4.25
agree,definitely yes,no,,important,yes,no,,zed,important,probably yes,,probably not,no,british english,sometimes,yes,yes,might or might not,probably yes,agree,neither disagree nor agree,,neither disagree nor agree,probably yes,44,canada,nova scotia,male,graduate degree,i am not currently studying,ns,0,no,,30 minutes to 1 hour,4,,3,4,4,,3.66666666666667,3.88888888888889
strongly agree,definitely yes,no,,important,that depends ,yes,yes but i cant describe it well,zed,important,probably yes,probably yes,probably not,no,british english,sometimes,,yes,probably yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,34,canada,alberta,female,undergraduate degree,i am not currently studying,ab,0,no,,24 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,probably yes,yes,extremely comfortable,unimportant,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,probably yes,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,strongly disagree,strongly disagree,strongly disagree,probably yes,29,canada,british columbia,female,undergraduate degree,i am not currently studying,bc,4,yes ,6,24 hours,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
agree,neutral,no,,extremely unimportant,yes,no,,zee,very unimportant,definitely not,definitely not,definitely not,no,british english,sometimes,no,no,definitely yes,probably yes,strongly agree,strongly disagree,strongly disagree,neither disagree nor agree,probably not,59,canada,ontario,male,undergraduate degree,i am not currently studying,ab,0,no,,i dont use social media,1,1,2,1,1,1,2.33333333333333,1.33333333333333
strongly agree,neutral,no,,important,that depends ,no,,zed,important,definitely yes,probably not,probably not,yes ,british english,sometimes,yes,yes,probably yes,probably yes,strongly agree,neither disagree nor agree,agree,disagree,,34,canada,manitoba,male,undergraduate degree,i am not currently studying,mb,0,no,,30 minutes to 1 hour,5,2,,4,5,2.33333333333333,,3.77777777777778
strongly agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,zee,important,probably yes,probably yes,probably yes,yes ,no particular variety,often,yes,definitely yes,definitely yes,probably yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,79,canada,british columbia,female,postgraduate degree,,mb,0,no,,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
strongly agree,probably yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,definitely not,no,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,agree,definitely yes,54,canada,british columbia,male,postgraduate degree,i am not currently studying,austria,5,yes ,10,30 minutes to 1 hour,3,3,4,3,3,3.66666666666667,5,3.66666666666667
strongly agree,,no,,important,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,,definitely not,,canadian english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,strongly agree,agree,probably yes,39,canada,saskatchewan,female,undergraduate degree,i am not currently studying,sk,0,no,,30 minutes to 1 hour,3,,3,3,3,,3.66666666666667,3.22222222222222
strongly agree,neutral,no,,extremely unimportant,that depends ,yes,yes but i cant describe it well,zee,important,might or might not,definitely yes,definitely not,yes ,no particular variety,always,yes,definitely yes,definitely yes,definitely yes,disagree,disagree,strongly agree,strongly agree,definitely yes,49,canada,saskatchewan,male,postgraduate degree,i am not currently studying,sk,2,yes ,6,12 hours,3,4,4,4,3,5,5,4.25
somewhat agree,neutral,no,,unimportant,no,yes,yes but i cant describe it well,both,neither unimportant nor important,might or might not,probably yes,definitely not,no,british english,often,,neither yes or no,definitely yes,probably yes,disagree,disagree,agree,neither disagree nor agree,definitely yes,29,canada,saskatchewan,male,high school,i am not currently studying,sk,0,no,,i dont use social media,3,3,4,3,3,3.66666666666667,5,3.66666666666667
strongly agree,definitely yes,yes,moderately comfortable,,yes,no,,zed,important,definitely yes,,definitely not,no,british english,often,yes,yes,definitely yes,probably yes,agree,disagree,disagree,strongly disagree,probably yes,34,canada,saskatchewan,female,undergraduate degree,i am not currently studying,nt,0,yes ,4,12 hours,5,,3,4,5,,3.66666666666667,4.22222222222222
,neutral,yes,neither comfortable nor uncomfortable,,,not sure,yes but i cant describe it well,not sure,,,,,,no particular variety,,,,,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,,49,canada,saskatchewan,other,graduate degree,i am not currently studying,on,3,yes ,0,i dont use social media,,,,,,,,
strongly agree,probably not,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably yes,,no,british english,sometimes,yes,yes,definitely yes,definitely yes,agree,disagree,disagree,neither disagree nor agree,probably yes,29,canada,saskatchewan,female,graduate degree,i am not currently studying,philippines,7,yes ,6,12 hours,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,probably yes,no,,extremely important,no,no,,zed,important,definitely yes,probably not,definitely not,no,british english,often,yes,no,definitely yes,probably yes,agree,agree,agree,disagree,probably yes,44,canada,saskatchewan,female,high school,i am not currently studying,sk,0,no,,12 hours,5,2,3,4,5,2.33333333333333,3.66666666666667,3.75
strongly agree,probably yes,no,,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,probably not,yes ,british english,always,yes,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,agree,probably yes,59,canada,saskatchewan,female,graduate degree,i am not currently studying,us,0,no,,i dont use social media,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
strongly agree,definitely yes,no,,extremely important,yes,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,yes ,british english,sometimes,yes,yes,definitely yes,probably yes,agree,agree,strongly agree,neither disagree nor agree,probably yes,39,canada,saskatchewan,male,other ,i am not currently studying,sk,0,no,,24 hours,5,3,3,5,5,3.66666666666667,3.66666666666667,4.33333333333333
