cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
agree,probably yes,yes,moderately comfortable,important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,probably yes,definitely yes,disagree,disagree,agree,neither disagree nor agree,probably yes,69,canada,british columbia,female,postgraduate degree,i am not currently studying,bc,0,yes ,8,i dont use social media,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
strongly agree,definitely yes,yes,extremely comfortable,important,,no,,zee,neither unimportant nor important,probably not,probably not,probably yes,,no particular variety,rarely,,neither yes or no,probably yes,probably yes,agree,neither disagree nor agree,neither disagree nor agree,disagree,definitely not,19,canada,british columbia,male,elementary school,i am not currently studying,bc,4,yes ,,24 hours,2,2,1,3,2,2.33333333333333,1,2.08333333333333
strongly agree,probably yes,yes,moderately uncomfortable,,yes,yes,yes i do know it is ,zed,important,probably not,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,probably yes,disagree,disagree,strongly agree,disagree,definitely yes,24,canada,ontario,female,undergraduate degree,first yeari am in a graduate program,bc,2,yes ,2,24 hours,2,4,4,4,2,5,5,4
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,yes,yes but i cant describe it well,zed,very important,might or might not,definitely yes,probably not,yes ,american english,sometimes,yes,definitely yes,probably yes,might or might not,neither disagree nor agree,disagree,agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,3,yes ,4,more than 8 hours,3,4,3,5,3,5,3.66666666666667,4.16666666666667
strongly agree,probably yes,yes,moderately comfortable,,yes,yes,yes but i cant describe it well,zee,very unimportant,probably not,,probably not,yes ,british english,often,no,no,might or might not,probably not,neither disagree nor agree,disagree,agree,disagree,probably yes,24,canada,british columbia,female,high school,third year,,0,,,12 hours,2,,3,1,2,,3.66666666666667,2.22222222222222
somewhat agree,probably not,yes,extremely uncomfortable,unimportant,,not sure,yes but i cant describe it well,both,unimportant,probably not,probably not,,,british english,never,yes,no,probably not,might or might not,disagree,disagree,disagree,disagree,probably not,19,canada,ontario,male,elementary school,i am not currently studying,us,0,yes ,0,less than 30 minutes,2,2,2,2,2,2.33333333333333,2.33333333333333,2.16666666666667
strongly agree,definitely yes,yes,extremely comfortable,important,no,yes,yes but i cant describe it well,both,important,probably yes,probably yes,probably not,yes ,no particular variety,,yes,neither yes or no,probably yes,definitely yes,disagree,disagree,strongly agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,undergraduate degree,fourth year+,bc,7,yes ,6,12 hours,4,3,3,4,4,3.66666666666667,3.66666666666667,3.83333333333333
agree,definitely yes,yes,extremely comfortable,important,no,not sure,yes but i cant describe it well,zee,important,definitely yes,definitely yes,definitely not,yes ,no particular variety,sometimes,yes,yes,definitely yes,definitely yes,disagree,disagree,agree,agree,probably yes,24,canada,british columbia,other,undergraduate degree,fourth year+,bc,9,yes ,8,12 hours,5,4,3,4,5,5,3.66666666666667,4.41666666666667
strongly agree,probably yes,yes,moderately uncomfortable,important,yes,yes,yes but i cant describe it well,zed,neither unimportant nor important,probably not,probably yes,definitely not,yes ,british english,often,no,no,probably yes,probably yes,disagree,strongly disagree,agree,disagree,probably yes,59,canada,british columbia,female,postgraduate degree,i am not currently studying,bc,0,no,,i dont use social media,2,3,3,3,2,3.66666666666667,3.66666666666667,3.08333333333333
agree,probably yes,no,,,,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably yes,probably not,no,no particular variety,rarely,yes,yes,probably yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,24,canada,british columbia,other,high school,third year,bc,0,yes ,4,24 hours,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
strongly agree,definitely yes,yes,extremely comfortable,important,that depends ,yes,yes but i cant describe it well,zee,neither unimportant nor important,might or might not,probably not,probably yes,yes ,no particular variety,never,yes,neither yes or no,might or might not,definitely yes,agree,neither disagree nor agree,,agree,probably yes,34,canada,british columbia,male,postgraduate degree,i am not currently studying,bc,6,yes ,11,24 hours,3,2,3,3,3,2.33333333333333,3.66666666666667,3
somewhat agree,probably not,yes,extremely comfortable,unimportant,that depends ,no,,zed,unimportant,definitely not,probably not,probably yes,no,no particular variety,rarely,yes,neither yes or no,probably not,might or might not,disagree,disagree,agree,disagree,probably not,24,canada,british columbia,female,high school,fourth year+,bc,5,yes ,7,46 hours,1,2,2,2,1,2.33333333333333,2.33333333333333,1.91666666666667
strongly agree,probably not,yes,extremely comfortable,unimportant,yes,yes,yes but i cant describe it well,both,neither unimportant nor important,probably not,definitely yes,definitely not,no,british english,sometimes,yes,definitely yes,definitely yes,probably yes,agree,disagree,agree,agree,probably yes,24,canada,british columbia,other,high school,third year,ab,2,no,,12 hours,2,4,3,3,2,5,3.66666666666667,3.41666666666667
